speaker,title,topic,year,month,link
Quentin L. Cook,Hearts Knit in Righteousness and Unity, diversity,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/15cook?lang=eng
Sharon Eubank,By Union of Feeling We Obtain Power with God, diversity,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/31eubank?lang=eng
Carlos A. Godoy,I Believe in Angels, friendship,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/44godoy?lang=eng
Ulisses Soares,One in Christ, friendship,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/one-in-christ?lang=eng
Mervyn B. Arnold,To the Rescue: We Can Do It, friendship,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/to-the-rescue-we-can-do-it?lang=eng
Henry B. Eyring,You Are Not Alone in the Work, friendship,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/you-are-not-alone-in-the-work?lang=eng
Silvia H. Allred,Feed My Sheep, friendship,10,2007,https://www.churchofjesuschrist.org/general-conference/2007/10/feed-my-sheep?lang=eng
M. Russell Ballard,Creating a Gospel-Sharing Home, friendship,04,2006,https://www.churchofjesuschrist.org/general-conference/2006/04/creating-a-gospel-sharing-home?lang=eng
Kathleen H. Hughes,What Greater Goodness Can We Know: Christlike Friends, friendship,04,2005,https://www.churchofjesuschrist.org/general-conference/2005/04/what-greater-goodness-can-we-know-christlike-friends?lang=eng
Gordon B. Hinckley,Stay on the High Road, friendship,04,2004,https://www.churchofjesuschrist.org/general-conference/2004/04/stay-on-the-high-road?lang=eng
Henry B. Eyring,True Friends, friendship,04,2002,https://www.churchofjesuschrist.org/general-conference/2002/04/true-friends?lang=eng
M. Russell Ballard,Doctrine of Inclusion, friendship,10,2001,https://www.churchofjesuschrist.org/general-conference/2001/10/doctrine-of-inclusion?lang=eng
Steven E. Snow,Gratitude, friendship,10,2001,https://www.churchofjesuschrist.org/general-conference/2001/10/gratitude?lang=eng
Thomas S. Monson,To the Rescue, friendship,04,2001,https://www.churchofjesuschrist.org/general-conference/2001/04/to-the-rescue?lang=eng
Gordon B. Hinckley,How Can I Become the Woman of Whom I Dream?, friendship,04,2001,https://www.churchofjesuschrist.org/general-conference/2001/04/how-can-i-become-the-woman-of-whom-i-dream?lang=eng
Gordon B. Hinckley,“Great Shall Be the Peace of Thy Children”, friendship,10,2000,https://www.churchofjesuschrist.org/general-conference/2000/10/great-shall-be-the-peace-of-thy-children?lang=eng
M. Russell Ballard,Now Is the Time, friendship,10,2000,https://www.churchofjesuschrist.org/general-conference/2000/10/now-is-the-time?lang=eng
Neal A. Maxwell,The Tugs and Pulls of the World, friendship,10,2000,https://www.churchofjesuschrist.org/general-conference/2000/10/the-tugs-and-pulls-of-the-world?lang=eng
Robert C. Oaks,Sharing the Gospel, friendship,10,2000,https://www.churchofjesuschrist.org/general-conference/2000/10/sharing-the-gospel?lang=eng
Ronald A. Rasband,One by One, friendship,10,2000,https://www.churchofjesuschrist.org/general-conference/2000/10/one-by-one?lang=eng
Gordon B. Hinckley,"Your Greatest Challenge, Mother", friendship,10,2000,https://www.churchofjesuschrist.org/general-conference/2000/10/your-greatest-challenge-mother?lang=eng
Gordon B. Hinckley,My Testimony, friendship,04,2000,https://www.churchofjesuschrist.org/general-conference/2000/04/my-testimony?lang=eng
Stephen B. Oveson,Our Legacy, friendship,10,1999,https://www.churchofjesuschrist.org/general-conference/1999/10/our-legacy?lang=eng
Richard H. Winkel,“No Man Is an Island”, friendship,10,1999,https://www.churchofjesuschrist.org/general-conference/1999/10/no-man-is-an-island?lang=eng
Vaughn J. Featherstone,One Link Still Holds, friendship,10,1999,https://www.churchofjesuschrist.org/general-conference/1999/10/one-link-still-holds?lang=eng
M. Russell Ballard,Beware of False Prophets and False Teachers, friendship,10,1999,https://www.churchofjesuschrist.org/general-conference/1999/10/beware-of-false-prophets-and-false-teachers?lang=eng
Marlin K. Jensen,Friendship: A Gospel Principle, friendship,04,1999,https://www.churchofjesuschrist.org/general-conference/1999/04/friendship-a-gospel-principle?lang=eng
Thomas S. Monson,In Harm’s Way, friendship,04,1998,https://www.churchofjesuschrist.org/general-conference/1998/04/in-harms-way?lang=eng
Robert D. Hales,In Remembrance of Jesus, friendship,10,1997,https://www.churchofjesuschrist.org/general-conference/1997/10/in-remembrance-of-jesus?lang=eng
Joseph B. Wirthlin,Valued Companions, friendship,10,1997,https://www.churchofjesuschrist.org/general-conference/1997/10/valued-companions?lang=eng
Kristin Banner,Friends Standing Together, friendship,04,1997,https://www.churchofjesuschrist.org/general-conference/1997/04/friends-standing-together?lang=eng
Thomas S. Monson,Pioneers All, friendship,04,1997,https://www.churchofjesuschrist.org/general-conference/1997/04/pioneers-all?lang=eng
Robert D. Hales,"“If Thou Wilt Enter into Life, Keep the Commandments”", friendship,04,1996,https://www.churchofjesuschrist.org/general-conference/1996/04/if-thou-wilt-enter-into-life-keep-the-commandments?lang=eng
W. Eugene Hansen,Spiritual Shepherds, friendship,04,1996,https://www.churchofjesuschrist.org/general-conference/1996/04/spiritual-shepherds?lang=eng
Gordon B. Hinckley,Stand True and Faithful, friendship,04,1996,https://www.churchofjesuschrist.org/general-conference/1996/04/stand-true-and-faithful?lang=eng
Thomas S. Monson,A Time to Choose, friendship,04,1995,https://www.churchofjesuschrist.org/general-conference/1995/04/a-time-to-choose?lang=eng
Richard G. Scott,Making the Right Choices, friendship,10,1994,https://www.churchofjesuschrist.org/general-conference/1994/10/making-the-right-choices?lang=eng
Sterling W. Sill,Transfusion, friendship,10,1974,https://www.churchofjesuschrist.org/general-conference/1974/10/transfusion?lang=eng
Marvin J. Ashton,What Is a Friend?, friendship,10,1972,https://www.churchofjesuschrist.org/general-conference/1972/10/what-is-a-friend?lang=eng
Dallin H. Oaks,Love Your Enemies, government,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/17oaks?lang=eng
Gordon B. Hinckley,Why We Do Some of the Things We Do, government,10,1999,https://www.churchofjesuschrist.org/general-conference/1999/10/why-we-do-some-of-the-things-we-do?lang=eng
L. Tom Perry,The Articles of Faith, government,04,1998,https://www.churchofjesuschrist.org/general-conference/1998/04/the-articles-of-faith?lang=eng
Gordon B. Hinckley,Our Testimony to the World, government,04,1997,https://www.churchofjesuschrist.org/general-conference/1997/04/our-testimony-to-the-world?lang=eng
Janette Hales Beckham,The Power of Goodness, government,10,1995,https://www.churchofjesuschrist.org/general-conference/1995/10/the-power-of-goodness?lang=eng
George P. Lee,"“Acquaint Thyself with Him, and Be at Peace”", government,10,1980,https://www.churchofjesuschrist.org/general-conference/1980/10/acquaint-thyself-with-him-and-be-at-peace?lang=eng
